"clean_sector","c_company_name","company_rank","job_counts"
"Aerospace & Defense","Maxar Technologies","1","12"
"Biotech & Pharmaceuticals","AstraZeneca","1","10"
"Biotech & Pharmaceuticals","Tempus Labs","2","11"
"Biotech & Pharmaceuticals","Novartis","3","5"
"Business Services","Southwest Research Institute","1","6"
"Government","Kingfisher Systems","1","4"
"Information Technology","Triplebyte","1","4"
"Information Technology","Klaviyo","2","8"
"Information Technology","Novetta","3","6"
"Insurance","MassMutual","1","5"
"Manufacturing","Mars","1","4"
